Tahun,Provinsi,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Rumah Sakit,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Puskesmas,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Puskesmas Pembantu,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Apotek,Persentase Penduduk yang Memiliki Jaminan Kesehatan Nasional (JKN) Menurut Provinsi (Persen)
2025,Aceh,71,369,965,575,98.18
2025,Sumatera Utara,180,620,1804,938,68.69
2025,Sumatera Barat,70,282,729,408,78.19
2025,Riau,68,241,1012,515,73.3
2025,Jambi,41,209,590,349,61.04
2025,Sumatera Selatan,76,354,832,444,73.33
2025,Bengkulu,25,179,361,223,76.2
2025,Lampung,72,320,851,748,71.9
2025,Kepulauan Bangka Belitung,27,65,150,143,84.11
2025,Kepulauan Riau,29,96,220,97,80
2025,DKI Jakarta,125,42,238,256,91.69
2025,Jawa Barat,367,1102,1589,2716,70.62
2025,Jawa Tengah,328,891,1703,3130,72.96
2025,DI Yogyakarta,68,120,225,263,89.27
2025,Jawa Timur,379,980,2293,2856,73.86
2025,Banten,113,251,210,559,74.49
2025,Bali,63,122,478,313,89.15
2025,Nusa Tenggara Barat,42,178,574,477,71.73
2025,Nusa Tenggara Timur,66,435,1095,325,77.45
2025,Kalimantan Barat,48,246,798,250,68.92
2025,Kalimantan Tengah,27,210,1121,142,67.89
2025,Kalimantan Selatan,44,244,408,291,74.32
2025,Kalimantan Timur,50,188,739,283,83
2025,Kalimantan Utara,16,60,225,70,88.4
2025,Sulawesi Utara,56,207,413,270,83.46
2025,Sulawesi Tengah,39,222,672,343,80.86
2025,Sulawesi Selatan,119,485,1497,882,86.56
2025,Sulawesi Tenggara,36,308,390,379,84.19
2025,Gorontalo,22,96,227,132,87.21
2025,Sulawesi Barat,13,101,353,108,89.32
2025,Maluku,30,236,460,94,65.53
2025,Maluku Utara,22,153,280,130,73.41
2025,Papua Barat,12,89,200,53,76.74
2025,Papua Barat Daya,12,105,206,63,84.13
2025,Papua,17,119,314,85,79.9
2025,Papua Selatan,9,81,231,27,92.19
2025,Papua Tengah,11,102,135,50,70.83
2025,Papua Pegunungan,9,146,227,11,96.31
2024,Aceh,66,363,898,539,97.19
2024,Sumatera Utara,176,624,1811,867,65.75
2024,Sumatera Barat,64,280,713,370,75.76
2024,Riau,66,244,996,478,68.38
2024,Jambi,39,208,581,307,58.06
2024,Sumatera Selatan,73,348,809,400,71.49
2024,Bengkulu,24,181,388,210,72.02
2024,Lampung,61,323,859,670,70.18
2024,Kepulauan Bangka Belitung,23,66,147,134,80.13
2024,Kepulauan Riau,26,96,225,97,81.91
2024,DKI Jakarta,121,52,234,255,89.91
2024,Jawa Barat,346,1110,1547,2589,68.84
2024,Jawa Tengah,317,888,1697,2903,70.9
2024,DI Yogyakarta,66,122,229,254,85.7
2024,Jawa Timur,341,984,2218,2628,69.66
2024,Banten,106,252,220,526,71.86
2024,Bali,59,120,480,308,88.47
2024,Nusa Tenggara Barat,42,178,550,433,68.28
2024,Nusa Tenggara Timur,65,442,1050,296,75.24
2024,Kalimantan Barat,45,248,776,222,65.22
2024,Kalimantan Tengah,27,211,1096,137,64.53
2024,Kalimantan Selatan,42,243,406,266,70.85
2024,Kalimantan Timur,46,185,741,269,82.88
2024,Kalimantan Utara,15,60,221,68,87.46
2024,Sulawesi Utara,54,208,420,258,84.41
2024,Sulawesi Tengah,36,221,659,316,77.39
2024,Sulawesi Selatan,101,475,1324,794,83.55
2024,Sulawesi Tenggara,33,309,417,344,80.39
2024,Gorontalo,19,95,211,117,87.74
2024,Sulawesi Barat,12,100,344,98,89.53
2024,Maluku,31,237,463,93,61.75
2024,Maluku Utara,23,153,287,121,69.58
2024,Papua Barat,11,91,214,53,72.41
2024,Papua Barat Daya,12,104,202,58,81.37
2024,Papua,17,125,310,79,81.04
2024,Papua Selatan,9,88,246,26,90.11
2024,Papua Tengah,14,98,148,45,67.34
2024,Papua Pegunungan,9,148,246,8,97.28