Provinsi,Access,,,Communication,,,Environtment,,,,Services,,,,,,,,
,Akses Udara,Infrastruktur Jalan,Akses Perjalanan Laut,Pemandu Wisata,Edukasi Pemangku Kepentingan,Digital Marketing ,Kedatangan Wisatawan Domestik,Kedatangan Wisatawan Internasional,Ketersediaan Internet,Inisiatif Pariwisata Berkelanjutan,Restoran Halal,Tempat Ibadah,Jumlah Bandara,Hotel,Objek Wisata,Situs Warisan Budaya,Pusat Informasi Turis,Penginapan sertifikasi syariah,Rata2 lama tinggal
ACEH,319669,23660,977301,25,25.49,94.44,1759671,134399,86.77,78.13,50,81.25,12,43,33,6,62.5,10.41,1.6
SUMATERA UTARA,2911192,40979,496461,22.73,19.61,86.78,4393111,135227,43.85,80.19,60,60.45,8,146,239,19,47.27,0.71,1.46
SUMATERA BARAT,1058022,22602,148411,33.77,18.86,92.73,3052185,13162,85.23,89.61,50.65,94.81,3,92,105,9,51.95,6.16,1.41
RIAU,1209784,24206,690124,35.19,20.7,93.67,1209658,10194,81.02,58.33,69.64,83.93,8,100,59,3,35.71,4.06,1.21
JAMBI,514140,13353,0,22.22,14.14,96.43,901011,22069,81.89,100,50,94.44,4,35,24,4,77.78,5.49,1.73
SUMATERA SELATAN,1407875,19838,19057,48.89,13.34,99.27,912658,1837,77.79,90.67,53.33,84.44,6,83,49,9,75.56,5.13,1.37
BENGKULU,311143,9228,11680,18.6,4.99,96.7,790406,105,81.84,90.7,32.56,69.77,3,17,44,3,72.09,3.32,1.28
LAMPUNG,470598,20767,2277,40.95,10.67,89.77,1174947,1445,86.15,78.59,62.37,89.25,7,28,130,1,61.29,8.84,1.46
KEP. BANGKA BELITUNG,942400,5891,430761,32.65,6.12,85.71,1827121,11713,97.2,85.71,67.35,95.92,2,55,50,4,65.31,1.3,1.66
KEP. RIAU,1844117,5688,3736245,35.71,20.54,84.31,1223994,164908,76.51,92.86,67.86,94.64,8,119,56,1,76.79,0.71,1.89
DKI JAKARTA,1808394,6485,744407,27.51,32.78,83.11,28329101,4723663,100,61.9,45.5,67.72,2,448,189,38,55.56,3.06,1.73
JAWA BARAT,396773,29756,0,16.13,43.16,89.07,8.38E+07,33093,94.86,86.21,45.65,91.13,7,598,628,22,79.19,2.2,1.45
JAWA TENGAH,1627742,31678,396823,47.1,12.87,93.81,3.64E+07,489377,94.6,93.84,65.51,89.55,6,359,611,47,84.25,1.85,1.36
DI YOGYAKARTA,2008203,4449,0,46.12,12.93,99.04,16098574,1001976,92.92,98.53,59.16,72.25,2,193,201,26,57.59,0.73,1.57
JAWA TIMUR,5522780,42466,955483,33.94,22.69,89.64,2.84E+07,343115,89.03,84.49,65.27,84.98,8,349,640,28,79,2.44,1.55
BANTEN,18538674,6128,25410,22.5,10.92,86.38,2689932,36359,83.89,77.04,45.88,76.47,4,148,195,4,41.76,5.07,1.41
BALI,4721260,8864,1988031,57.29,27.5,91.39,9547155,8567891,98.19,91.36,47.74,58.02,2,541,247,24,81.48,0.33,2.49
NUSA TENGGARA BARAT,1081950,8509,842039,39.51,23.28,96.61,1498439,85651,93.14,93.52,45.68,76.54,3,96,84,5,76.54,0.78,1.89
NUSA TENGGARA TIMUR,1335166,24050,1912880,18.92,8.09,91.67,44465,159132,65.66,96.43,3.57,28.57,18,46,43,11,53.57,1.83,1.74
KALIMANTAN BARAT,1282163,18505,119975,23.23,11.52,95.65,701066,92,54.15,68.25,76.67,70,73,49,44,1,66.67,0,1.73
KALIMANTAN TENGAH,583473,18923,391988,13.33,11.3,92.31,755829,54174,60.05,79.64,57.14,65.08,9,28,66,3,71.43,1.62,1.58
KALIMANTAN SELATAN,1411054,13648,192026,36.48,12.9,96.49,1286956,237,86,82.57,57.69,92.31,6,57,54,3,73.08,6.12,1.54
KALIMANTAN TIMUR,2633946,13375,481971,38.46,12.1,96.15,1715195,1159,70.82,78.52,77.05,90.16,26,73,71,3,73.77,2.32,1.64
KALIMANTAN UTARA,339309,4973,247779,37.5,14.09,96.55,387998,1248,56.61,100,33.33,70.83,35,8,24,2,41.67,2.24,1.77
SULAWESI UTARA,729507,10309,630192,30.77,22,82.35,25042,4976,84.28,90,46.67,26.67,6,52,33,4,46.67,2.68,1.66
SULAWESI TENGAH,563832,16952,412740,25.71,22.84,88.37,36292,2968,74.28,81.62,50,57.69,18,14,30,2,69.23,0.45,1.76
SULAWESI SELATAN,2832918,30357,1346014,11.54,18.32,85.42,2461926,2741,85.13,88.43,50,80,9,195,85,8,72.86,0.69,1.52
SULAWESI TENGGARA,626592,13066,1634024,15.38,16.45,97.56,311953,2183,69.59,91.67,70.59,64.71,6,27,24,0,41.18,0.88,1.29
GORONTALO,155781,5516,48034,26.67,11.97,76.92,156036,1546,82.92,94.44,22.22,66.67,2,8,38,4,55.56,3.7,1.64
SULAWESI BARAT,27835,5648,18222,11.9,10.79,66.67,145565,166,66.31,73.33,42.31,57.69,2,6,39,4,42.31,2.26,1.2
MALUKU,436001,9364,1177499,26.67,13.36,75,27848,37313,60.38,75.33,40,40,15,26,26,2,40,0.3,1.77
MALUKU UTARA,424829,7360,534258,15.38,1.38,57.5,128139,1373,52.27,80,72.73,45.45,11,13,29,3,27.27,0.63,1.74
PAPUA BARAT,348848,7533,192922,28.57,0,100,1561,0,54.23,75,100,100,18,22,4,1,50,0,2.01
PAPUA BARAT DAYA,471503,5495,281767,0,40.45,100,2416,465,64.58,75,71.43,42.86,11,0,11,0,28.57,0.78,1.78
PAPUA,522186,8976,249726,8.33,53.7,100,32772,205,64.04,66.67,41.67,16.67,56,55,12,0,41.67,0,1.69
PAPUA SELATAN,200185,4919,39778,0,0,0,1512,2,61.01,100,50,50,25,0,3,0,0,0,1.98
PAPUA TENGAH,386725,3674,94312,16.67,3.23,33.33,18761,4,15.89,100,16.67,16.67,50,0,6,0,16.67,0,1.25
PAPUA PEGUNUNGAN,40784,3544,0,25,0,0,2952,3464,16.63,82.5,,,116,0,10,6,12.5,0,1.57
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,53.07810811,68.85378378,,,,,,,